乗車駅名,降車駅名,人員
富山,富山,0
富山,西富山,101
富山,婦中鵜坂,209
富山,速星,551
富山,千里,194
富山,越中八尾,321
富山,東八尾,15
富山,笹津,23
富山,楡原,4
富山,猪谷,7
西富山,富山,137
西富山,西富山,0
西富山,婦中鵜坂,5
西富山,速星,67
西富山,千里,21
西富山,越中八尾,70
西富山,東八尾,0
西富山,笹津,5
西富山,楡原,3
西富山,猪谷,2
婦中鵜坂,富山,175
婦中鵜坂,西富山,3
婦中鵜坂,婦中鵜坂,0
婦中鵜坂,速星,2
婦中鵜坂,千里,1
婦中鵜坂,越中八尾,29
婦中鵜坂,東八尾,0
婦中鵜坂,笹津,0
婦中鵜坂,楡原,0
婦中鵜坂,猪谷,0
速星,富山,538
速星,西富山,63
速星,婦中鵜坂,8
速星,速星,0
速星,千里,7
速星,越中八尾,204
速星,東八尾,0
速星,笹津,10
速星,楡原,5
速星,猪谷,1
千里,富山,193
千里,西富山,36
千里,婦中鵜坂,2
千里,速星,28
千里,千里,0
千里,越中八尾,11
千里,東八尾,0
千里,笹津,0
千里,楡原,0
千里,猪谷,0
越中八尾,富山,382
越中八尾,西富山,62
越中八尾,婦中鵜坂,24
越中八尾,速星,203
越中八尾,千里,34
越中八尾,越中八尾,0
越中八尾,東八尾,0
越中八尾,笹津,9
越中八尾,楡原,4
越中八尾,猪谷,10
東八尾,富山,24
東八尾,西富山,2
東八尾,婦中鵜坂,0
東八尾,速星,2
東八尾,千里,0
東八尾,越中八尾,0
東八尾,東八尾,0
東八尾,笹津,0
東八尾,楡原,0
東八尾,猪谷,0
笹津,富山,9
笹津,西富山,18
笹津,婦中鵜坂,0
笹津,速星,16
笹津,千里,1
笹津,越中八尾,13
笹津,東八尾,1
笹津,笹津,0
笹津,楡原,1
笹津,猪谷,1
楡原,富山,14
楡原,西富山,3
楡原,婦中鵜坂,0
楡原,速星,6
楡原,千里,0
楡原,越中八尾,2
楡原,東八尾,0
楡原,笹津,0
楡原,楡原,0
楡原,猪谷,1
猪谷,富山,19
猪谷,西富山,3
猪谷,婦中鵜坂,0
猪谷,速星,0
猪谷,千里,0
猪谷,越中八尾,5
猪谷,東八尾,0
猪谷,笹津,1
猪谷,楡原,0
猪谷,猪谷,0
