乗車駅名,降車駅名,定期人員,定期外人員
鈴蘭台西口,広野ゴルフ,367.1001444,142.5500793
鈴蘭台西口,志染,1489.25854,1397.686143
鈴蘭台西口,恵比須,229.4375903,568.5032924
鈴蘭台西口,三木上の丸,0,272.8815803
鈴蘭台西口,三木,746.0422289,260.4778721
鈴蘭台西口,大村,19.87906919,140.4537546
鈴蘭台西口,樫山,30.35079934,289.4198579
鈴蘭台西口,市場,248.680743,0
鈴蘭台西口,小野,1142.089338,553.6727717
鈴蘭台西口,葉多,0,0
鈴蘭台西口,粟生,0,280.9075092
西鈴蘭台,他社線,144432.3127,102805.8358
西鈴蘭台,高速線,180521.496,128442.537
西鈴蘭台,湊川方面,113471.0671,91875.07556
西鈴蘭台,三田方面,48567.3491,67800.57727
西鈴蘭台,鈴蘭台,34317.94253,70383.78059
西鈴蘭台,鈴蘭台西口,3212.126264,12830.94704
西鈴蘭台,西鈴蘭台,,
西鈴蘭台,藍那,3232.849659,4093.223705
西鈴蘭台,木津,11770.14838,8186.44741
西鈴蘭台,木幡,1980.320045,4061.858006
西鈴蘭台,栄,3760.538065,7850.018065
西鈴蘭台,押部谷,3704.374184,5196.78892
西鈴蘭台,緑が丘,6607.802599,9031.787088
西鈴蘭台,広野ゴルフ,1012.306459,2053.947379
西鈴蘭台,志染,7551.774399,6741.78022
西鈴蘭台,恵比須,1336.244526,1500.848692
西鈴蘭台,三木上の丸,411.9368033,446.3016501
西鈴蘭台,三木,856.5670036,2059.988401
西鈴蘭台,大村,889.5118884,1041.911489
西鈴蘭台,樫山,87.35527515,393.8497036
西鈴蘭台,市場,72.04769189,519.0682235
西鈴蘭台,小野,3933.215833,1972.459249
西鈴蘭台,葉多,0,0
西鈴蘭台,粟生,700.8275484,1543.572576
藍那,他社線,1686.366288,2505.142377
藍那,高速線,2870.410704,2809.075092
藍那,湊川方面,2336.091828,2460.068792
藍那,三田方面,720.4769189,1224.46863
藍那,鈴蘭台,978.020534,2156.644748
藍那,鈴蘭台西口,68.83127708,415.2545788
藍那,西鈴蘭台,2903.428415,4014.127595
藍那,藍那,,
藍那,木津,23.57523863,321.9389431
藍那,木幡,46.58068298,107.312981
藍那,栄,0,232.9476905
藍那,押部谷,0,71.8109422
藍那,緑が丘,0,191.0171062
藍那,広野ゴルフ,0,0
藍那,志染,0,198.9761523
藍那,恵比須,,0
藍那,三木上の丸,0,0
藍那,三木,0,25.33383372
藍那,大村,,0
藍那,樫山,,0
藍那,市場,,0
藍那,小野,192.7275758,0
藍那,葉多,,
藍那,粟生,285.5223345,0
木津,他社線,18552.67653,12038.05722
木津,高速線,13831.03779,10460.46058
木津,湊川方面,15548.86883,14644.64481
木津,三田方面,6221.381395,5687.587995
木津,鈴蘭台,11687.99492,6717.974499
木津,鈴蘭台西口,2826.671112,1469.362356
木津,西鈴蘭台,11901.7731,8696.71378
木津,藍那,0,402.1412763
木津,木津,,
木津,木幡,676.2371081,1406.715123
木津,栄,2072.339525,4408.087067
木津,押部谷,1927.275758,1591.809219
木津,緑が丘,1344.610994,2025.939006
木津,広野ゴルフ,653.3138163,572.1710556
木津,志染,1445.456819,1705.509877
木津,恵比須,164.7244238,367.3405889
木津,三木上の丸,3.426268014,13.76203935
木津,三木,849.3079612,596.928457
木津,大村,0,134.5190889
木津,樫山,0,34.47962206
木津,市場,0,0
木津,小野,279.0625532,275.5054417
木津,葉多,0,0
木津,粟生,51.05366247,129.7670559
木幡,他社線,19623.17136,10965.79684
木幡,高速線,26596.40546,13069.59148
木幡,湊川方面,10626.06094,10356.34913
木幡,三田方面,5978.488066,5326.438539
木幡,鈴蘭台,4302.755181,5265.215108
木幡,鈴蘭台西口,464.4037971,786.5410257
木幡,西鈴蘭台,1576.861984,4126.912789
木幡,藍那,165.195065,191.0171062
木幡,木津,844.0623758,1949.154145
木幡,木幡,,
木幡,栄,76.3277528,2224.171785
木幡,押部谷,92.32458721,1828.887187
木幡,緑が丘,3340.611314,2025.939006
木幡,広野ゴルフ,56.27082505,700.9802064
木幡,志染,992.2607864,1845.051594
木幡,恵比須,220.2600866,914.4435937
木幡,三木上の丸,67.32841076,313.1427971
木幡,三木,350.4137742,465.8953811
木幡,大村,111.188986,280.9075092
木幡,樫山,214.1417509,89.26033002
木幡,市場,,238.7713828
木幡,小野,770.9103032,298.4642285
木幡,葉多,0,0
木幡,粟生,0,219.5598922
栄,他社線,33433.16262,19698.63908
栄,高速線,42109.93914,24235.29535
栄,湊川方面,22570.02454,16067.90952
栄,三田方面,7200.011323,6635.331059
栄,鈴蘭台,7200.011323,7003.960562
栄,鈴蘭台西口,478.083909,1169.492487
栄,西鈴蘭台,2993.82642,6601.326466
栄,藍那,0,372.1112459
栄,木津,2110.82583,4399.832222
栄,木幡,108.5789159,1419.721736
栄,栄,,
栄,押部谷,5017.035307,5372.356113
栄,緑が丘,6512.862907,7975.456498
栄,広野ゴルフ,557.2845566,2715.439255
栄,志染,6771.50942,7415.958242
栄,恵比須,489.4668592,1614.229067
栄,三木上の丸,400.4728848,394.6634426
栄,三木,2738.760288,1984.593312
栄,大村,802.1032057,931.7907621
栄,樫山,292.7507481,265.3015364
栄,市場,12.22373631,154.0460534
栄,小野,1081.154694,1235.99304
栄,葉多,0,0
栄,粟生,616.7282426,1071.12396
押部谷,他社線,25297.83325,15238.44331
押部谷,高速線,33228.89238,19222.60753
押部谷,湊川方面,16229.69059,17310.92525
押部谷,三田方面,7018.735597,6147.676982
押部谷,鈴蘭台,4509.098,4610.757737
押部谷,鈴蘭台西口,642.4252527,901.024086
押部谷,西鈴蘭台,3103.664857,5521.588227
押部谷,藍那,0,77.64923018
押部谷,木津,1927.275758,2387.713828
押部谷,木幡,192.7275758,1982.252989
