乗車駅名,降車駅名,定期人員,定期外人員
他社線,他社線,,
他社線,高速線,,
他社線,湊川方面,,
他社線,三田方面,,
他社線,鈴蘭台,,
他社線,鈴蘭台西口,62111.4453,35549.14239
他社線,西鈴蘭台,147649.5399,97664.57936
他社線,藍那,1078.858851,1720.119793
他社線,木津,18725.90721,11658.58971
他社線,木幡,17801.17105,8982.847808
他社線,栄,29668.61841,15385.51593
他社線,押部谷,24582.56954,13092.02287
他社線,緑が丘,57564.82586,40613.93956
他社線,広野ゴルフ,13254.5516,10034.03213
他社線,志染,45928.56253,39084.94419
他社線,恵比須,14487.53315,17392.32235
他社線,三木上の丸,3082.453861,5160.359379
他社線,三木,22347.79049,19494.69099
他社線,大村,4546.619445,7071.603594
他社線,樫山,4623.680792,5351.483801
他社線,市場,2157.717703,1815.682004
他社線,小野,27819.1461,28286.41438
他社線,葉多,385.3067326,764.4976858
他社線,粟生,1464.165584,7931.66349
高速線,他社線,,
高速線,高速線,,
高速線,湊川方面,,
高速線,三田方面,,
高速線,鈴蘭台,,
高速線,鈴蘭台西口,81916.21136,46347.6722
高速線,西鈴蘭台,186565.5199,118879.3901
高速線,藍那,2697.147128,2006.806425
高速線,木津,13562.79699,10798.52981
高速線,木幡,22039.54511,12231.96297
高速線,栄,41381.94308,20928.12415
高速線,押部谷,28820.9436,15576.64035
高速線,緑が丘,64885.65378,40136.12851
高速線,広野ゴルフ,18648.84586,11085.21644
高速線,志染,69663.45726,45583.17452
高速線,恵比須,19111.21394,16436.70025
高速線,三木上の丸,4777.803485,4204.737272
高速線,三木,26046.73513,19781.37762
高速線,大村,6473.153108,7453.852437
高速線,樫山,7012.582534,5542.608222
高速線,市場,3930.128673,1911.244215
高速線,小野,37837.12114,27999.72774
高速線,葉多,1232.981544,573.3732644
高速線,粟生,2774.208475,6880.479172
湊川方面,他社線,,
湊川方面,高速線,,
湊川方面,湊川方面,,
湊川方面,三田方面,,
湊川方面,鈴蘭台,,
湊川方面,鈴蘭台西口,41690.18847,34402.39586
湊川方面,西鈴蘭台,97944.97144,94224.33978
湊川方面,藍那,1464.165584,1815.682004
湊川方面,木津,19419.45932,13474.27171
湊川方面,木幡,6396.091762,8409.474544
湊川方面,栄,15951.69873,14716.58045
湊川方面,押部谷,7937.318692,11467.46529
湊川方面,緑が丘,25507.3057,27044.10564
湊川方面,広野ゴルフ,8322.625425,7453.852437
湊川方面,志染,28127.39148,25228.42363
湊川方面,恵比須,5240.171564,9651.783283
湊川方面,三木上の丸,2774.208475,3249.115165
湊川方面,三木,9093.23889,9460.658862
湊川方面,大村,3467.760594,4395.861693
湊川方面,樫山,3005.392515,3249.115165
湊川方面,市場,847.6748118,1337.87095
湊川方面,小野,16182.88277,12136.40076
湊川方面,葉多,308.2453861,286.6866322
湊川方面,粟生,2234.779049,4682.548326
三田方面,他社線,,
三田方面,高速線,,
三田方面,湊川方面,,
三田方面,三田方面,,
三田方面,鈴蘭台,,
三田方面,鈴蘭台西口,16337.00546,19590.2532
三田方面,西鈴蘭台,47238.60542,68422.54288
三田方面,藍那,770.6134653,955.6221073
三田方面,木津,9093.23889,6402.668119
三田方面,木幡,2388.901742,4682.548326
三田方面,栄,7937.318692,6689.354751
三田方面,押部谷,4161.312712,4491.423904
三田方面,緑が丘,12329.81544,12231.96297
三田方面,広野ゴルフ,1926.533663,1528.995372
三田方面,志染,9632.668316,7549.414647
三田方面,恵比須,1387.104237,2675.7419
三田方面,三木上の丸,1001.797505,1433.433161
三田方面,三木,3082.453861,3631.364008
三田方面,大村,1232.981544,1528.995372
三田方面,樫山,616.4907722,764.4976858
三田方面,市場,231.1840396,286.6866322
三田方面,小野,3313.637901,3822.488429
三田方面,葉多,0,95.56221073
三田方面,粟生,1618.288277,3726.926218
鈴蘭台,他社線,,
鈴蘭台,高速線,,
鈴蘭台,湊川方面,,
鈴蘭台,三田方面,,
鈴蘭台,鈴蘭台,,
鈴蘭台,鈴蘭台西口,22810.15857,36313.64008
鈴蘭台,西鈴蘭台,45620.31714,95562.21073
